Componente,URLs
SCC 37,"https://untref.edu.ar/muntref/km-55-ecoparque-ignauguracion-4-2/, https://untref.edu.ar/muntref/es/exhibition-files/a2024"
SCC 38,"https://untref.edu.ar/muntref/diana-schufer-diego-perrota-viviana-blanco-miguel-harte-florencia-battiti-y-fernando-farina/, https://untref.edu.ar/muntref/es/center-of-art-and-science"
SCC 39,https://untref.edu.ar/mundountref/tags/conferencia-completa
SCC 40,"https://untref.edu.ar/sedes, https://untref.edu.ar/escuela-de-tango-y-danzas-tradicionales, https://untref.edu.ar/study-abroad"
SCC 41,"https://untref.edu.ar/mundountref/se-ultiman-los-detalles-para-la-inauguracion-, https://untref.edu.ar/mundountref/nueva-sede-muntref-ex-zoo-porteno-"
SCC 42,"https://untref.edu.ar/mundountref/charla-francesc-pedro-anibal-jozami, https://untref.edu.ar/mundountref/ranking-qs-untref"
SCC 43,"https://untref.edu.ar/index.php/;actor/browse, https://untref.edu.ar/untref37/index.php/mundountref/la-revista-ciencia-hoy-continuara-editandose-por-la-untref, https://untref.edu.ar/untref37/index.php/mundountref/videojuegos-un-segmento-en-el-que-confluyen-el-software-el-arte-la-narracion-y-la-musica"
SCC 44,"https://untref.edu.ar/mundountref/la-untref-reconocida-como-universidad-saludable, https://untref.edu.ar/mundountref/la-untref-recibe-certificado-distintivo-de-institucion-mediadora"
SCC 45,"https://untref.edu.ar/mundountref/capacitaciones-investigacion-accidentes-aviones, https://untref.edu.ar/mundountref/podcast-genocidio-consecuencias"
SCC 46,"https://untref.edu.ar/muntref/05786jimenasalvatierra_17/, https://untref.edu.ar/muntref/es/museum-of-visual-arts"
SCC 47,"https://untref.edu.ar/muntref/carla-zaccagnini-2-1/, https://untref.edu.ar/muntref/es/about-muntref"
SCC 48,"https://untref.edu.ar/uploads/, https://untref.edu.ar/cidem/"
SCC 49,"https://untref.edu.ar/mundountref/jornadas-virtuales-75-peronismo, https://untref.edu.ar/mundountref/resultados-encuesta-malestar-psicologico-caida-ingresos"
SCC 50,"https://untref.edu.ar/autoevaluacion-institucional, https://untref.edu.ar/covid, https://untref.edu.ar/posgrados, https://untref.edu.ar/posgrado/maestria-en-economia-social-comunitaria-y-solidaria-virtual, https://untref.edu.ar/posgrado/especializacion-en-intervencion-y-gestion-gerontologica, https://untref.edu.ar/posgrado/ diplomatura-superior-en-lengua-y-cultura-idish, https://untref.edu.ar/posgrado/maestria-en-criminologia-y-seguridad-ciudadana, https://untref.edu.ar/sigeva-cvar, https://untref.edu.ar/unidades-de-investigacion-untref, https://untref.edu.ar/muntref/, https://untref.edu.ar/muntref/es/centro-de-arte-contemporaneo"
SCC 51,"https://untref.edu.ar/doble-carrera-deporte-universidad, https://untref.edu.ar/trio-de-cuerdas-untref-extension, https://untref.edu.ar/convocatorias, https://untref.edu.ar/institutos, https://untref.edu.ar/vigilancia-tecnologica-y-propiedad-intelectual"
SCC 52,"https://untref.edu.ar/sitios/mgaie, https://untref.edu.ar/sitios/mgaie/revista-raesta/, https://untref.edu.ar/raesta/, https://untref.edu.ar/n3_art8.php"
SCC 53,"https://untref.edu.ar/mundountref/menchu-gutierrez-en-argentina, https://untref.edu.ar/events/serie-de-lecturas-frost-con-menchu-gutierrez"
SCC 54,"https://untref.edu.ar/muntref/en/museum-of-immigration, https://untref.edu.ar/muntref/en/educacion"
SCC 55,"https://untref.edu.ar/muntref/es/muestras/3382/, https://untref.edu.ar/muntref/es/muestras/3382/km-202jimenasalvatierra_12/"
SCC 56,"https://untref.edu.ar/mundountref/nueva-especializacion-gestion-politicas-infancia-adolescencia, https://untref.edu.ar/mundountref/tags/infancia"
SCC 57,"https://untref.edu.ar/mundountref/bienalsur-pensar-futuros-posibles, https://untref.edu.ar/mundountref/un-millon-personas-bienalsur"
SCC 58,"https://untref.edu.ar/mundountref/voley-femenino-microestadio, https://untref.edu.ar/mundountref/tags/competencias"
SCC 59,"https://untref.edu.ar/mundountref/bienalsur-talleres-turn-muntref, https://untref.edu.ar/mundountref/arte-mito-y-naturaleza-en-el-cck"
SCC 60,"https://untref.edu.ar/mundountref/en-el-xirgu-la-universidad-celebro-el-dia-de-la-musica, https://untref.edu.ar/mundountref/ciclo-de-conciertos-para-ensambles"
SCC 61,"https://untref.edu.ar/muntref/es/archivo-de-muestras/a2013, https://untref.edu.ar/muntref/es/archivo-de-muestras/a2014, https://untref.edu.ar/muntref/es/archivo-de-muestras/a2023"
SCC 62,"https://untref.edu.ar/muntref/es/noticias/nuevo-vitral-de-luis-felipe-noe-en-muntref-inmigrantes/, https://untref.edu.ar/muntref/es/archivo-de-muestras/a2019, https://untref.edu.ar/muntref/es/muestras/carla-zaccagnini-manana-iba-a-ser-ayer/, https://untref.edu.ar/muntref/es/muestras/extrajero-residente/"
SCC 63,"https://untref.edu.ar/sitios/gac/eventos-mes/noviembre/, https://untref.edu.ar/sitios/gac/eventos-mes/mayo/"
SCC 64,"https://untref.edu.ar/sitios/mgaie/contacto/, https://untref.edu.ar/sitios/mgaie/novedades/openathens-servicio-de-acceso-remoto-a-bases-de-datos-academicas-y-cientificas/"
SCC 65,"https://untref.edu.ar/muntref/mnf00269_mauro-franceschetti_inauguracion-hogar-dulce-hogar-caseros-ii_april-28-2018/, https://untref.edu.ar/muntref/es/authorities"
SCC 66,"https://untref.edu.ar/mundountref/deportes-ajedrez-untref, https://untref.edu.ar/mundountref/leonardo-pepino-ingenieria-sonido-proyecto"
SCC 67,"https://untref.edu.ar/mundountref/graduacion-diplomas-ditanciamiento-social, https://untref.edu.ar/mundountref/artes-electronicas-charla-joseph-scheer"
SCC 68,"https://untref.edu.ar/mundountref/tags/untref-sonoro, https://untref.edu.ar/mundountref/untref-sonoro-presento-la-opera-ese-grito-es-todavia-un-grito-de-amor"
SCC 69,"https://untref.edu.ar/sitios/ciea/red-esial/, https://untref.edu.ar/sitios/ciea/contacto"
SCC 70,"https://untref.edu.ar/muntref/anibal-jozami-diana-wechsler-florencia-battiti-y-fernando-farina/, https://untref.edu.ar/muntref/es/contact, https://untref.edu.ar/muntref/es/location"
SCC 71,"https://untref.edu.ar/muntref/es/autoridades-muntref, https://untref.edu.ar/muntref/es/recorridos-virtuales, https://untref.edu.ar/muntref/recorridos/enelpaisaje/, https://untref.edu.ar/muntref/recorridos/hogar-dulce-hogar-caseros/, https://untref.edu.ar/muntref/recorridos/kazma-aveta-inmigrantes/"
SCC 72,"https://untref.edu.ar/muntref/en/about-muntref, https://untref.edu.ar/muntref/en/museum-of-immigration/, https://untref.edu.ar/muntref/en/muestras/italianos-y-espanoles-en-la-argentina-2"
SCC 73,"https://untref.edu.ar/sitios/cinea/radar/, https://untref.edu.ar/sitios/cinea/informes-para-prensa/"
SCC 74,https://untref.edu.ar/mundountref/cemento-hito-de-la-musica-y-el-rock-independiente
SCC 75,"https://untref.edu.ar/elecciones-untref-2024, https://untref.edu.ar/tutoriales, https://untref.edu.ar/untref-deportes, https://untref.edu.ar/secretaria-academica, https://untref.edu.ar/cooperacion-internacional, https://untref.edu.ar/estudiar-en-untref"
SCC 76,"https://untref.edu.ar/muntref/es/muestras/huellas-migrantes, https://untref.edu.ar/muntref/es/muestras/huellas-migrantes/_mg_1692/"
SCC 77,"https://untref.edu.ar/muntref/es/muestras/inmediatamente-despues-y-poco-antes-de-25-anos-berlin-buenos-aires/, https://untref.edu.ar/muntref/es/muestras/inmediatamente-despues-y-poco-antes-de-25-anos-berlin-buenos-aires/golder-js_20/"
SCC 78,"https://untref.edu.ar/muntref/es/muestras/victor-grippo-preexistencias, https://untref.edu.ar/muntref/es/muestras/victor-grippo-preexistencias/dsc00289/"
SCC 79,https://untref.edu.ar/mundountref/nuevo-formateate-untref-media
SCC 80,https://untref.edu.ar/sitios/gac/plan-de-estudios/
SCC 81,"https://untref.edu.ar/muntref/05786jimenasalvatierra_42/, https://untref.edu.ar/muntref/es/center-of-art-and-nature, https://untref.edu.ar/muntref/es/exhibition-files/a2020"
SCC 82,"https://untref.edu.ar/mundountref/muestra-retrospectiva-del-premio-braque, https://untref.edu.ar/events/premio-braque-1963-1997"
SCC 83,"https://untref.edu.ar/mundountref/tags/ciclo-de-conciertos-para-ensambles, https://untref.edu.ar/mundountref/muta-domo-i-presento-su-segundo-trabajo-discografico-interludios-melancolicos"
SCC 84,"https://untref.edu.ar/departamento-de-alumnos, https://untref.edu.ar/suscripcion"
SCC 85,"https://untref.edu.ar/mundountref/taller-de-huerta-salud-alimentacion-ecologia, https://untref.edu.ar/extension"
SCC 86,https://untref.edu.ar/mundountref/untref-acr-up-acuerdo-foncap
SCC 87,"https://untref.edu.ar/mundountref/tags/comunicacion-politica, https://untref.edu.ar/mundountref/que-pasara-con-las-elecciones-legislativas-paso-2017"
SCC 88,"https://untref.edu.ar/mundountref/tags/educacion, https://untref.edu.ar/mundountref/Becas-AUF-ciencia-educacion-superior, https://untref.edu.ar/mundountref/una-nueva-ensenanza, https://untref.edu.ar/mundountref/seminario-filosofia-innovacion-untref, https://untref.edu.ar/mundountref/presentan-edicion-especial-de-el-lugar-sin-limites, https://untref.edu.ar/mundountref/tags/pueblos-originarios, https://untref.edu.ar/mundountref/tags/ciea, https://untref.edu.ar/mundountref/lanzamiento-programa-energia-nuclear-innovacion, https://untref.edu.ar/mundountref/mala-praxis-feria-regional-ciencias"
SCC 89,"https://untref.edu.ar/sitios/enlaces/sabado-9-de-septiembre/, https://untref.edu.ar/sitios/enlaces/domingo-10-de-septiembre/"
SCC 90,"https://untref.edu.ar/muntref/mnf00261_mauro-franceschetti_inauguracion-hogar-dulce-hogar-caseros-ii_april-28-2018/, https://untref.edu.ar/muntref/es/center-of-contemporary-art"
SCC 91,"https://untref.edu.ar/mundountref/nuevas-publicaciones-eduntref, https://untref.edu.ar/mundountref/menchu-gutierrez-charla-untref"
SCC 92,"https://untref.edu.ar/muntref/en/center-of-art-and-science, https://untref.edu.ar/muntref/en/muestras/sierva-technoscience-for-optical-aberrations/, https://untref.edu.ar/muntref/en/museum-of-visual-arts"
SCC 93,"https://untref.edu.ar/muntref/es/muestras/para-todos-los-hombres-del-mundo-2/, https://untref.edu.ar/muntref/es/museo-de-la-inmigracion/acerca-de-mi/"
SCC 94,"https://untref.edu.ar/docentes, https://untref.edu.ar/docente/515"
SCC 95,https://untref.edu.ar/mundountref/el-gobierno-presento-una-iniciativa-del-consejo-economico-y-social-en-el-muntref
SCC 96,"https://untref.edu.ar/sitios/mgaie/cuerpo-docente/, https://untref.edu.ar/sitios/mgaie/novedades/6as-jornadas-academicas-de-estadistica-jae-vi-estadistica-en-la-era-de-la-ciencia-de-datos-viernes-6-de-diciembre-de-2019/"
SCC 97,https://untref.edu.ar/muntref/carla-zaccagnini-2/
SCC 98,https://untref.edu.ar/sitios/mgaie/noticias/
SCC 99,"https://untref.edu.ar/mundountref/un-microfono-para-delfines, https://untref.edu.ar/mundountref/tescucho-ahora-puede-usarse-como-subtitulador-para-videoconferencias"
SCC 100,"https://untref.edu.ar/events/introduccion-a-los-procesos-sociales-cientificos-artisticos-y-culturales-afroamericanos, https://untref.edu.ar/mundountref/eric-sadin-el-origen-de-la-locura-es-cuando-ya-nadie-cree-en-nada"
SCC 101,"https://untref.edu.ar/mundountref/tango-danza-folclore-cultura-muestras, https://untref.edu.ar/mundountref/tags/muestras, https://untref.edu.ar/mundountref/bienalsur-apertura-sedes-ciudad-gran-show, https://untref.edu.ar/mundountref/escala-en-paris, https://untref.edu.ar/mundountref/artistas-brasilenos-argentinos-exponen-embajada-brasil, https://untref.edu.ar/mundountref/ali-kazma-recorrido-sonoro, https://untref.edu.ar/mundountref/diego-perrotta-cuerpo-de-obra, https://untref.edu.ar/mundountref/muestra-final-artes-del-circo-Aquelarre, https://untref.edu.ar/mundountref/el-hotel-del-inmigrantes-inaugurara-como-sede-de-la-bienalsur"
SCC 102,"https://untref.edu.ar/mundountref/conferencia-de-sousa-universidad-blanco-derecha-neofascista, https://untref.edu.ar/sitios/enlaces/"
SCC 103,"https://untref.edu.ar/mundountref/boris-groys-digital-no-reemplaza-museos-archivos-fisicos, https://untref.edu.ar/mundountref/el-seminario-de-pensamiento-economico-argentino-abrio-con-el-legado-de-aldo-ferrer"
SCC 104,"https://untref.edu.ar/mundountref/becas-evc-cin-investigadores, https://untref.edu.ar/mundountref/direccion-de-desarrollo"
SCC 105,"https://untref.edu.ar/mundountref/tags/nutricion, https://untref.edu.ar/mundountref/nutricion-conciencia-salud, https://untref.edu.ar/mundountref/festival-nuevos-creativos"
SCC 106,"https://untref.edu.ar/mundountref/equipamiento-medico-covid-19-desarrollado-untref, https://untref.edu.ar/mundountref/las-ilusiones-argentinas-sujatovich-premio-gardel, https://untref.edu.ar/mundountref/estrenos-2019-un3"
SCC 107,"https://untref.edu.ar/mundountref/inscripcion-2020-untref-virtual-diplomaturas-salud-educacion, https://untref.edu.ar/mundountref/inscripcion-2020-economia-administracion-grado-untref-virtual"
SCC 108,"https://untref.edu.ar/events/la-shoa-y-la-reconciliacion-cristiano-judia-la-rebelion-de-job, https://untref.edu.ar/mundountref/cat/podcast, https://untref.edu.ar/mundountref/historia-en-pocillo-episodio-13-podcast"
SCC 109,"https://untref.edu.ar/muntref/en/muestras/overflow/, https://untref.edu.ar/muntref/en/museum-of-visual-arts/about-mav"
SCC 110,"https://untref.edu.ar/mundountref/tags/taller, https://untref.edu.ar/mundountref/cursos-para-el-2o-cuatrimestre, https://untref.edu.ar/mundountref/edward-hirsch-en-la-untref, https://untref.edu.ar/mundountref/conta-tu-historia-en-video-360o"
SCC 111,"https://untref.edu.ar/muntref/es/muestras/puede-que-esta-vez-sea-diferente/, https://untref.edu.ar/muntref/es/muestras/puede-que-esta-vez-sea-diferente/rosler_sml_l/"
SCC 112,"https://untref.edu.ar/mundountref/episodio-11-las-patrias-argentinas-podcast-historia, https://untref.edu.ar/mundountref/episodio-11-militancia-70-podcast-historia, https://untref.edu.ar/mundountref/episodio-3-origen-nazismo-podcast"
SCC 113,"https://untref.edu.ar/mundountref/streaming-convenio-internacional , https://untref.edu.ar/mundountref/lanzamiento-seminario-internacional-artes-del-circo"
SCC 114,"https://untref.edu.ar/mundountref/globalizacion-financiera-ser-humano-ajuste, https://untref.edu.ar/sitios/ciea/institucional/"
